name,year_founded,industry,locality,country,current_employee_estimate
toys r us,1948,retail,"wayne, new jersey, united states",united states,6336
the children's hospital of philadelphia,1855,hospital & health care,"philadelphia, pennsylvania, united states",united states,6335
commonwealth of massachusetts,,government administration,"boston, massachusetts, united states",united states,6335
skf group,1907,mechanical or industrial engineering,"ase, vasternorrlands lan, sweden",sweden,6324
western union,1851,financial services,"englewood, colorado, united states",united states,6323
deutsche telekom,1995,telecommunications,"bonn, nordrhein-westfalen, germany",germany,6316
pt. bank negara indonesia (persero) tbk.,1946,banking,"jakarta, jakarta raya, indonesia",indonesia,6316
florida state university,,higher education,"tallahassee, florida, united states",united states,6305
caesars entertainment corporation,1937,gambling & casinos,"las vegas, nevada, united states",united states,6302
oxy,,oil & energy,"houston, texas, united states",united states,6301
la fitness,1984,"health, wellness and fitness","irvine, california, united states",united states,6300
shangri-la hotels and resorts,1971,hospitality,"quarry bay, eastern, hong kong",hong kong,6292
iowa state university,1858,higher education,"ames, iowa, united states",united states,6287
medical university of south carolina,1824,hospital & health care,"charleston, south carolina, united states",united states,6285
boston children's hospital,1869,hospital & health care,"boston, massachusetts, united states",united states,6283
ngo,,non-profit organization management,,singapore,6282
frontier communications,1935,telecommunications,"norwalk, connecticut, united states",united states,6273
crédit agricole cib,2004,banking,"courbevoie, ile-de-france, france",france,6266
stay at home mom,,hospital & health care,,,6262
autozone,1979,retail,"memphis, tennessee, united states",united states,6256
transamerica,1904,financial services,"baltimore, maryland, united states",united states,6251
temple university,,higher education,,,6250
exl,1999,outsourcing/offshoring,"new york, new york, united states",united states,6236
world health organization,1948,international affairs,"geneva, geneva, switzerland",switzerland,6227
fannie mae,1938,financial services,"washington, district of columbia, united states",united states,6222
kiewit,1884,construction,"omaha, nebraska, united states",united states,6216
societe generale corporate and investment banking - sgcib,1990,financial services,,,6213
groupon,2008,internet,"chicago, illinois, united states",united states,6211
none at present,,marketing and advertising,,,6208
proximus,,telecommunications,"brussels, brussels hoofdstedelijk gewest, belgium",belgium,6206
plexus worldwide,2006,"health, wellness and fitness","scottsdale, arizona, united states",united states,6203
mac cosmetics,,cosmetics,,,6197
postnl,,logistics and supply chain,"the hague, zuid-holland, netherlands",netherlands,6196
hdr,1917,design,"omaha, nebraska, united states",united states,6195
parsons brinckerhoff,,civil engineering,"montréal, quebec, canada",canada,6195
rede globo,1965,broadcast media,"rio de janeiro, rio de janeiro, brazil",brazil,6192
ubisoft,1986,computer games,"bois, nouvelle-aquitaine, france",france,6192
suez,,environmental services,"paris, île-de-france, france",france,6188
citrix,1989,computer software,"fort lauderdale, florida, united states",united states,6182
persistent systems,1990,computer software,"pune, maharashtra, india",india,6181
university of virginia,1819,higher education,"charlottesville, virginia, united states",united states,6170
tsa,2001,government administration,"arlington, virginia, united states",united states,6166
royal navy,,military,"portsmouth, virginia, united states",united kingdom,6166
thirty-one gifts,2003,retail,"columbus, ohio, united states",united states,6163
hexaware technologies,1990,information technology and services,"bombay, maharashtra, india",india,6159
any,,hospital & health care,,,6158
metro cash and carry,1964,wholesale,,,6153
pharmacy,,pharmaceuticals,,,6152
schaeffler,1946,mechanical or industrial engineering,"herzogenaurach, bavaria, germany",germany,6151
analog devices,1965,semiconductors,"norwood, massachusetts, united states",united states,6150
gwinnett county public schools,,primary/secondary education,"suwanee, georgia, united states",united states,6149
restaurant,,hospitality,,,6148
