name,year_founded,industry,locality,country,current_employee_estimate
commerzbank ag,1870,banking,,,6145
javier orensans. productor asesor de seguros,,insurance,,,6143
cable one,1983,telecommunications,"phoenix, arizona, united states",united states,6141
estudio juridico,1983,law practice,"lujan, mendoza, argentina",argentina,6138
mahle,1920,automotive,"stuttgart, baden-wurttemberg, germany",germany,6136
harman international,1980,consumer electronics,"stamford, connecticut, united states",united states,6134
my own,,internet,,,6133
beckman coulter,,medical devices,"brea, california, united states",united states,6132
gerdau,1901,mining & metals,"porto alegre, rio grande do sul, brazil",brazil,6129
western digital,1970,computer hardware,"irvine, california, united states",united states,6129
canadian tire,1922,retail,"toronto, ontario, canada",canada,6127
ratp,1949,transportation/trucking/railroad,"paris, île-de-france, france",france,6106
family dollar,1959,retail,"matthews, north carolina, united states",united states,6093
barnes & noble,,retail,"new york, new york, united states",united states,6084
ypf s.a.,1922,oil & energy,"buenos aires, buenos aires f.d., argentina",argentina,6082
"lexmark international, inc.",1991,information technology and services,"lexington, kentucky, united states",united states,6080
city of cape town,,government administration,,,6079
stefanini,1987,information technology and services,"southfield, michigan, united states",united states,6077
nationwide building society,1846,financial services,"county of wiltshire, wiltshire, united kingdom",united kingdom,6071
teach for america,1990,education management,"new york, new york, united states",united states,6069
entergy,1913,utilities,"new orleans, louisiana, united states",united states,6066
black & veatch,1915,construction,"overland park, kansas, united states",united states,6060
transnet,1850,transportation/trucking/railroad,"johannesburg, gauteng, south africa",south africa,6057
henry ford health system,1915,hospital & health care,"detroit, michigan, united states",united states,6050
selbständig,,"health, wellness and fitness",,,6044
biogen,1978,biotechnology,"cambridge, massachusetts, united states",united states,6044
the church of jesus christ of latter-day saints,,religious institutions,"salt lake city, utah, united states",united states,6042
mine,2003,human resources,"malmö, skåne, sweden",sweden,6038
avis budget group,,"leisure, travel & tourism","parsippany, new jersey, united states",united states,6014
southern california edison (sce),1886,utilities,"rosemead, california, united states",united states,6012
us airways,,airlines/aviation,,,6010
wake county public school system,1976,education management,"cary, north carolina, united states",united states,6009
houston methodist,,hospital & health care,"houston, texas, united states",united states,6007
dollar tree stores,,retail,"genesee, michigan, united states",united states,6007
lcl,,banking,,,6006
bank of china,1912,banking,"xicheng district, beijing, china",china,6005
epic,1979,computer software,"verona, wisconsin, united states",united states,6005
tui,,"leisure, travel & tourism","hannover, lower saxony, germany",germany,6005
rmit university,1887,higher education,"melbourne, victoria, australia",australia,6000
cdw,1984,information technology and services,"vernon hills, illinois, united states",united states,5997
consolidated contractors international company,,construction,"athens, attiki, greece",greece,5992
dgcye (educación de la prov. bs as),,information services,,,5984
cyient,1991,information technology and services,"hyderabad, andhra pradesh, india",india,5983
babcock international group,,mechanical or industrial engineering,"london, greater london, united kingdom",united kingdom,5981
nalco,,chemicals,"naperville, illinois, united states",united states,5979
dish network,1980,telecommunications,"englewood, colorado, united states",united states,5974
hospital albert einstein,1971,hospital & health care,,,5973
hcr manorcare,,hospital & health care,"toledo, ohio, united states",united states,5970
ef education first,1965,education management,"lucerne, lucerne, switzerland",switzerland,5964
transocean,,oil & energy,"bergen, new jersey, united states",switzerland,5955
sheraton,1937,hospitality,"stamford, connecticut, united states",united states,5955
allianz insurance,1905,insurance,"guildford, surrey, united kingdom",united kingdom,5947
desempregado,,warehousing,,,5941
vinh phuc pharmaceutical joint - stock company,1959,pharmaceuticals,,,5938
the linde group,1879,chemicals,"munich, bavaria, germany",germany,5937
pontificia universidad católica de chile,1888,higher education,"santiago, santiago metropolitan, chile",chile,5937
eduseeker,,internet,,,5935
broward county schools,,education management,"fort lauderdale, florida, united states",united states,5935
lyondellbasell,,chemicals,"rotterdam, zuid-holland, netherlands",netherlands,5930
cracker barrel,1969,restaurants,"lebanon, tennessee, united states",united states,5929
libero  professionista,,graphic design,"vicenza, veneto, italy",italy,5926
siemens plm software,,computer software,"plano, texas, united states",united states,5925
millicom,1990,telecommunications,"london, london, united kingdom",united kingdom,5923
oi s.a,,telecommunications,"rio de janeiro, rio de janeiro, brazil",brazil,5923
gemalto,2006,information technology and services,"amsterdam, noord-holland, netherlands",netherlands,5921
l&t technology services limited,2009,mechanical or industrial engineering,"vadodara, gujarat, india",india,5920
mcmaster university,1887,higher education,"hamilton, ontario, canada",canada,5918
beachbody,1998,"health, wellness and fitness","santa monica, california, united states",united states,5918
中国平安保险（集团）股份有限公司  pingan china,,financial services,,,5910
lloyds bank,,banking,"london, greater london, united kingdom",united kingdom,5910
swedbank,1820,financial services,"sundbyberg, stockholm, sweden",sweden,5910
dillards,1938,retail,"little rock, arkansas, united states",united states,5910
24 hour fitness,1983,"health, wellness and fitness","san ramon, california, united states",united states,5906
oregon state university,1868,higher education,"corvallis, oregon, united states",united states,5899
baylor college of medicine,,research,"houston, texas, united states",united states,5893
principal financial group,1879,financial services,"des moines, iowa, united states",united states,5892
ahold,1887,retail,"holland, massachusetts, united states",united states,5887
allstate financial,,financial services,"lincoln, nebraska, united states",united states,5880
bupa,1947,hospital & health care,"london, greater london, united kingdom",united kingdom,5876
panasonic,1918,consumer electronics,"newark, new jersey, united states",united states,5871
rbc capital markets,1869,investment banking,"toronto, ontario, canada",canada,5870
ucb,1928,pharmaceuticals,"brussels, brussels hoofdstedelijk gewest, belgium",belgium,5868
opentext,1991,computer software,"waterloo, ontario, canada",canada,5866
iron mountain,1951,information technology and services,"boston, massachusetts, united states",united states,5861
mairie de paris,,government administration,,,5839
state of minnesota,1858,government administration,"saint paul, minnesota, united states",united states,5833
peace corps,1961,international affairs,"washington, district of columbia, united states",united states,5832
hilti,1941,construction,"haltom city, texas, united states",liechtenstein,5831
first american title,1889,real estate,"santa ana, california, united states",united states,5827
frieslandcampina,1871,dairy,"amersfoort, utrecht, netherlands",netherlands,5826
montefiore medical center,,hospital & health care,"bronx, new york, united states",united states,5821
allscripts,1986,computer software,"chicago, illinois, united states",united states,5818
coldwell banker real estate,1906,real estate,"parsippany, new jersey, united states",united states,5817
netsuite,1998,computer software,"san mateo, california, united states",united states,5814
globe telecom,,telecommunications,,,5813
australia post,1809,consumer services,"melbourne, victoria, australia",australia,5813
american cancer society,1913,non-profit organization management,"atlanta, georgia, united states",united states,5809
al-futtaim,1930,retail,"dubai, dubai, united arab emirates",united arab emirates,5808
globallogic,2000,computer software,"san jose, california, united states",united states,5807
hydro québec,1944,renewables & environment,"montréal, quebec, canada",canada,5807
gulfstream aerospace,1958,aviation & aerospace,"savannah, georgia, united states",united states,5806
hamad medical corporation,1979,medical practice,"doha, ad dawhah, qatar",qatar,5802
union bank,1864,banking,"new york, new york, united states",united states,5801
barrick gold corporation,1983,mining & metals,"toronto, ontario, canada",canada,5794
a.t. kearney,1926,management consulting,"chicago, illinois, united states",united states,5793
omawo,,marketing and advertising,"bath, bath and north east somerset, united kingdom",united kingdom,5786
mindtree,1999,information technology and services,"bangalore, karnataka, india",india,5779
qatar petroleum,1974,oil & energy,"doha, ad dawhah, qatar",qatar,5772
university of houston,1927,higher education,"houston, texas, united states",united states,5759
hsbc commercial banking,1865,financial services,"london, greater london, united kingdom",united kingdom,5755
tu delft,1842,research,"delft, zuid-holland, netherlands",netherlands,5755
caixabank,1844,banking,"barcelona, catalonia, spain",spain,5732
mcdermott international inc.,1923,oil & energy,"houston, texas, united states",united states,5727
bon secours health system,1983,hospital & health care,"marriottsville, maryland, united states",united states,5719
